id,patient_text,relative_text,severity
2107,I feel fine and stable,Often prefers to stay alone,9
2108,I feel motivated and energetic,Often prefers to stay alone,5
2109,I feel disconnected from people,Actively interacts with family,10
2110,I feel sad without any clear reason,Shows signs of irritability,7
2111,I feel emotionally numb,She seems withdrawn and quiet,1
2112,I feel emotionally numb,Appears emotionally distant,9
2113,I feel sad without any clear reason,Actively interacts with family,5
2114,I feel sad without any clear reason,Actively interacts with family,1
2115,I feel disconnected from people,Actively interacts with family,6
2116,I feel emotionally numb,She seems withdrawn and quiet,7
2117,I feel motivated and energetic,Seems happy and social,7
2118,I feel fine and stable,She seems withdrawn and quiet,3
2119,I feel motivated and energetic,She seems withdrawn and quiet,4
2120,I feel fine and stable,Often prefers to stay alone,10
2121,I feel anxious most of the day,She seems withdrawn and quiet,10
2122,I feel worried about everything,Often prefers to stay alone,2
2123,I feel disconnected from people,Appears emotionally distant,2
2124,I feel worried about everything,Mood fluctuates frequently,4
2125,I feel motivated and energetic,She seems withdrawn and quiet,7
2126,I feel worried about everything,Often prefers to stay alone,5
2127,I feel emotionally numb,Mood fluctuates frequently,6
2128,I feel tired and hopeless,He avoids family and sleeps a lot,9
2129,I feel tired and hopeless,She seems withdrawn and quiet,1
2130,I feel disconnected from people,He avoids family and sleeps a lot,5
2131,I feel sad without any clear reason,Actively interacts with family,6
2132,I feel fine and stable,Appears emotionally distant,1
2133,I feel worried about everything,Often prefers to stay alone,2
2134,I feel disconnected from people,Often prefers to stay alone,8
2135,I feel motivated and energetic,Shows signs of irritability,7
2136,I feel stressed and overwhelmed,Actively interacts with family,10
2137,I feel fine and stable,No major change noticed,10
2138,I feel calm and normal,She seems withdrawn and quiet,6
2139,I feel calm and normal,She seems withdrawn and quiet,8
2140,I feel disconnected from people,Seems happy and social,9
2141,I feel fine and stable,Mood fluctuates frequently,6
2142,I feel fine and stable,Appears emotionally distant,2
2143,I feel disconnected from people,Seems happy and social,9
2144,I feel disconnected from people,Mood fluctuates frequently,1
2145,I feel stressed and overwhelmed,Often prefers to stay alone,2
2146,I feel anxious most of the day,No major change noticed,4
2147,I feel sad without any clear reason,No major change noticed,6
2148,I feel disconnected from people,Often prefers to stay alone,2
2149,I feel emotionally numb,Appears emotionally distant,3
2150,I feel worried about everything,No major change noticed,10
2151,I feel anxious most of the day,He avoids family and sleeps a lot,2
2152,I feel sad without any clear reason,He avoids family and sleeps a lot,4
2153,I feel fine and stable,He avoids family and sleeps a lot,8
2154,I feel motivated and energetic,Mood fluctuates frequently,3
2155,I feel motivated and energetic,Behavior appears normal,8
2156,I feel disconnected from people,Seems happy and social,5
2157,I feel worried about everything,Behavior appears normal,1
2158,I feel anxious most of the day,Actively interacts with family,1
2159,I feel sad without any clear reason,She seems withdrawn and quiet,9
2160,I feel disconnected from people,No major change noticed,4
2161,I feel calm and normal,Mood fluctuates frequently,1
2162,I feel emotionally numb,He avoids family and sleeps a lot,10
2163,I feel fine and stable,Mood fluctuates frequently,4
2164,I feel anxious most of the day,Appears emotionally distant,2
2165,I feel disconnected from people,Actively interacts with family,3
2166,I feel motivated and energetic,She seems withdrawn and quiet,4
2167,I feel fine and stable,Mood fluctuates frequently,10
2168,I feel tired and hopeless,Actively interacts with family,4
2169,I feel sad without any clear reason,No major change noticed,8
2170,I feel tired and hopeless,Mood fluctuates frequently,3
2171,I feel anxious most of the day,He avoids family and sleeps a lot,5
2172,I feel tired and hopeless,Often prefers to stay alone,7
2173,I feel sad without any clear reason,Often prefers to stay alone,3
2174,I feel disconnected from people,Appears emotionally distant,7
2175,I feel stressed and overwhelmed,She seems withdrawn and quiet,3
2176,I feel emotionally numb,She seems withdrawn and quiet,8
2177,I feel emotionally numb,She seems withdrawn and quiet,1
2178,I feel emotionally numb,Mood fluctuates frequently,5
2179,I feel stressed and overwhelmed,Behavior appears normal,1
2180,I feel sad without any clear reason,Mood fluctuates frequently,4
2181,I feel tired and hopeless,Shows signs of irritability,2
2182,I feel fine and stable,Shows signs of irritability,9
2183,I feel fine and stable,Shows signs of irritability,3
2184,I feel stressed and overwhelmed,Behavior appears normal,2
2185,I feel motivated and energetic,Shows signs of irritability,5
2186,I feel anxious most of the day,Appears emotionally distant,8
2187,I feel tired and hopeless,He avoids family and sleeps a lot,6
2188,I feel tired and hopeless,No major change noticed,2
2189,I feel motivated and energetic,He avoids family and sleeps a lot,8
2190,I feel stressed and overwhelmed,She seems withdrawn and quiet,7
2191,I feel sad without any clear reason,Seems happy and social,3
2192,I feel stressed and overwhelmed,Mood fluctuates frequently,7
2193,I feel motivated and energetic,Appears emotionally distant,7
2194,I feel anxious most of the day,She seems withdrawn and quiet,8
2195,I feel calm and normal,Shows signs of irritability,4
2196,I feel disconnected from people,Behavior appears normal,8
2197,I feel tired and hopeless,No major change noticed,1
2198,I feel worried about everything,Behavior appears normal,10
2199,I feel fine and stable,Appears emotionally distant,4
2200,I feel worried about everything,Often prefers to stay alone,1
2201,I feel disconnected from people,Shows signs of irritability,3
2202,I feel disconnected from people,Actively interacts with family,3
2203,I feel motivated and energetic,Actively interacts with family,9
2204,I feel tired and hopeless,Shows signs of irritability,6
2205,I feel sad without any clear reason,She seems withdrawn and quiet,2
2206,I feel tired and hopeless,She seems withdrawn and quiet,4
2207,I feel calm and normal,She seems withdrawn and quiet,2
2208,I feel worried about everything,Mood fluctuates frequently,4
2209,I feel sad without any clear reason,Behavior appears normal,6
2210,I feel worried about everything,No major change noticed,10
2211,I feel emotionally numb,Seems happy and social,9
2212,I feel anxious most of the day,Often prefers to stay alone,2
2213,I feel worried about everything,Shows signs of irritability,7
2214,I feel anxious most of the day,She seems withdrawn and quiet,10
2215,I feel calm and normal,She seems withdrawn and quiet,1
2216,I feel stressed and overwhelmed,Often prefers to stay alone,8
2217,I feel tired and hopeless,No major change noticed,1
2218,I feel sad without any clear reason,Behavior appears normal,4
2219,I feel disconnected from people,Mood fluctuates frequently,1
2220,I feel sad without any clear reason,Appears emotionally distant,5
2221,I feel disconnected from people,Shows signs of irritability,6
2222,I feel worried about everything,He avoids family and sleeps a lot,10
2223,I feel anxious most of the day,Often prefers to stay alone,6
2224,I feel motivated and energetic,Shows signs of irritability,1
2225,I feel motivated and energetic,Often prefers to stay alone,8
2226,I feel worried about everything,Behavior appears normal,1
2227,I feel calm and normal,Actively interacts with family,7
2228,I feel fine and stable,Appears emotionally distant,3
2229,I feel anxious most of the day,Actively interacts with family,8
2230,I feel anxious most of the day,Actively interacts with family,4
2231,I feel motivated and energetic,Actively interacts with family,6
2232,I feel worried about everything,Often prefers to stay alone,2
2233,I feel tired and hopeless,Actively interacts with family,3
2234,I feel sad without any clear reason,Mood fluctuates frequently,2
2235,I feel tired and hopeless,Shows signs of irritability,2
2236,I feel fine and stable,Seems happy and social,8
2237,I feel calm and normal,Actively interacts with family,9
2238,I feel worried about everything,Mood fluctuates frequently,6
2239,I feel worried about everything,Behavior appears normal,9
2240,I feel calm and normal,No major change noticed,1
2241,I feel fine and stable,Appears emotionally distant,6
2242,I feel emotionally numb,Actively interacts with family,4
2243,I feel worried about everything,Shows signs of irritability,5
2244,I feel calm and normal,Actively interacts with family,9
2245,I feel fine and stable,She seems withdrawn and quiet,6
2246,I feel motivated and energetic,Appears emotionally distant,2
2247,I feel worried about everything,Often prefers to stay alone,4
2248,I feel anxious most of the day,She seems withdrawn and quiet,6
2249,I feel worried about everything,Actively interacts with family,10
2250,I feel fine and stable,Appears emotionally distant,10
2251,I feel emotionally numb,He avoids family and sleeps a lot,3
2252,I feel emotionally numb,He avoids family and sleeps a lot,5
2253,I feel tired and hopeless,Often prefers to stay alone,2
2254,I feel anxious most of the day,She seems withdrawn and quiet,10
2255,I feel stressed and overwhelmed,Shows signs of irritability,1
2256,I feel tired and hopeless,She seems withdrawn and quiet,5
2257,I feel worried about everything,He avoids family and sleeps a lot,4
2258,I feel worried about everything,Shows signs of irritability,2
2259,I feel sad without any clear reason,Shows signs of irritability,3
2260,I feel stressed and overwhelmed,No major change noticed,10
2261,I feel motivated and energetic,Shows signs of irritability,4
2262,I feel anxious most of the day,Often prefers to stay alone,2
2263,I feel calm and normal,Behavior appears normal,2
2264,I feel tired and hopeless,Behavior appears normal,6
2265,I feel emotionally numb,Behavior appears normal,9
2266,I feel emotionally numb,Appears emotionally distant,10
2267,I feel worried about everything,Behavior appears normal,3
2268,I feel worried about everything,She seems withdrawn and quiet,2
2269,I feel worried about everything,Appears emotionally distant,3
2270,I feel fine and stable,Mood fluctuates frequently,3
